StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q13,Q1,Q2,Q3,Q5,Q6,Q7,Q7_5_TEXT,Q8,Q9,Q9_7_TEXT,Q10,Q11,Q12,Q13,Q_RecaptchaStatus,Q_RecaptchaError
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,I am aware of the ScarletWell resources available to me.,How often do you visit Institute for Food Nutrition and Health/Harvest during a typical week?,I feel a sense of connection when I spend time in this space.,I have met new people here.,What would make this space feel more welcoming or engaging?,The current layout encourages conversation and interaction.,What types of seating or table arrangements would encourage more interaction? - Selected Choice,What types of seating or table arrangements would encourage more interaction? - Other: - Text,Would a designated reflection/recharge area be helpful?,What table-based activities would you participate in? (Select all that apply) - Selected Choice,What table-based activities would you participate in? (Select all that apply) - Other: - Text,What would encourage you to talk with someone new here?,I am aware of wellness campus resources available to me.,How would you prefer to learn about wellness campus resources?,What campus services or activities would you like available or highlighted in this space?,Q_RecaptchaStatus,Q_RecaptchaError
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID14""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_5_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_7_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""Q_RecaptchaStatus""}","{""ImportId"":""Q_RecaptchaError""}"
2026-04-02 10:09:10,2026-04-02 10:11:44,IP Address,128.6.147.111,100,154,True,2026-04-02 10:11:44,R_3Is0X54MmLLqYi2,,,,,40.5511,-74.4606,anonymous,EN,1,No,1-2 times/week,Neutral,"Not yet, but I would like to","additionally comfortable seating ",Neutral,Lounge seating,,Yes,Trivia or theme days,,"The above activities ",Agree,Digital screens,any,complete,
2026-04-02 10:10:50,2026-04-02 10:12:35,IP Address,128.6.147.107,100,104,True,2026-04-02 10:12:36,R_332WRbJQ1TFjLnm,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,1-2 times/week,Strongly agree,"Not yet, but I would like to",Definitely more seating!! I can never find a table :(,Strongly agree,Shared long tables,,Yes,Resource bingo,,ScarletArtsRX collabs! I always meet new people there :),Strongly agree,Events,"As I mentioned previously definitely ScarletArtsRX, they have great resources!",complete,
2026-04-02 10:13:09,2026-04-02 10:14:21,IP Address,128.6.147.28,100,71,True,2026-04-02 10:14:22,R_3ZHMETrPosExe63,,,,,40.5511,-74.4606,anonymous,EN,0.8999999761581421,Yes,1-2 times/week,Strongly agree,"Not yet, but I would like to",Free sample,Disagree,Shared long tables,,Yes,Trivia or theme days,,,Strongly agree,Table cards,,complete,
2026-04-02 10:15:46,2026-04-02 10:18:13,IP Address,146.75.245.38,100,146,True,2026-04-02 10:18:13,R_3OyyY01d2dktNBv,,,,,40.5511,-74.4606,anonymous,EN,1,Not sure,Occasionally,Agree,"Not yet, but I would like to",expanded indoor seating area and more chairs and tables all around the building,Neutral,Mixed options,,Yes,Daily/weekly challenges,,"not too sure ",Neutral,QR codes,"various clubs or tables that talk about things related to environment or health sciences ",complete,
2026-04-02 10:17:05,2026-04-02 10:20:06,IP Address,128.6.147.14,100,181,True,2026-04-02 10:20:07,R_6zP1B5k4zNomnrX,,,,,40.5511,-74.4606,anonymous,EN,1,No,Daily,Strongly agree,No,MORE TABLES! MORE SEATING! IT'S SO HARD TO FIND A TABLE DURING PEAK HOURS!,Disagree,Shared long tables,,No,Trivia or theme days,,I'm really not sure.,Strongly agree,Table cards,I'm not sure.,complete,
2026-04-02 10:17:02,2026-04-02 10:20:28,IP Address,128.6.147.125,100,205,True,2026-04-02 10:20:28,R_7fpqNGIMMpcCzU5,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,Daily,Agree,Yes,More seats please!,Neutral,Shared long tables,,Yes,Trivia or theme days,,I want to share a table with them.,Agree,Table cards,"CAPS programs! ",complete,
2026-04-02 10:18:23,2026-04-02 10:21:14,IP Address,174.230.181.48,100,170,True,2026-04-02 10:21:15,R_793oArTASF6vURj,,,,,40.7158,-74.359,anonymous,EN,1,No,3-4 times/week,Strongly disagree,No,Let underage kids in the gym with a sign that says play at your own risk,Neutral,Mixed options,,Not sure,Trivia or theme days,,Let underage kids in the gym with a sign that says play at your own risk,Neutral,Digital screens,Let underage kids play at the gym with a sign that says play at your own risk,complete,
2026-04-02 10:19:10,2026-04-02 10:21:22,IP Address,174.206.225.38,100,131,True,2026-04-02 10:21:22,R_5ML32XvpLxuA8W2,,,,,40.7747,-74.2274,anonymous,EN,0.8999999761581421,No,1-2 times/week,Neutral,No,"A dozen or so more tables, as the current capacity is often full, meaning people need to wait to find a place to sit",Neutral,Round tables,,Not sure,None,,,Agree,QR codes,,complete,
2026-04-02 10:18:43,2026-04-02 10:21:22,IP Address,128.6.147.39,100,159,True,2026-04-02 10:21:22,R_7enJ5DV8KJybJG9,,,,,40.5511,-74.4606,anonymous,EN,1,No,1-2 times/week,Neutral,No,,Agree,Mixed options,,Not sure,Conversation prompts,,,Neutral,Table cards,,complete,
2026-04-02 10:23:39,2026-04-02 10:26:31,IP Address,128.6.147.109,100,171,True,2026-04-02 10:26:31,R_30pl6EEuSRYZ4wQ,,,,,40.5511,-74.4606,anonymous,EN,1,No,Daily,Agree,Yes,,Neutral,Round tables,,Not sure,Daily/weekly challenges,,,Neutral,Table cards,,complete,
2026-04-02 11:11:59,2026-04-02 11:12:55,IP Address,128.6.147.49,100,55,True,2026-04-02 11:12:55,R_62ezHvyoeQcPXqN,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,1-2 times/week,Agree,"Not yet, but I would like to",Free samples of the very yummy food…,Agree,Mixed options,,Not sure,Trivia or theme days,,,Agree,Table cards,,complete,
