start_date,end_date,progress_pct,duration_seconds,finished,recorded_date,response_id,distribution_channel,user_language,recaptcha_score,recaptcha_status,recaptcha_error,scarletwell_awareness,visit_frequency,sense_of_connection,met_new_people,welcoming_engaging_text,layout_encourages_interaction,seating_preference,seating_other_text,reflection_recharge_helpful,table_activity_preference,activity_other_text,talk_to_someone_new_text,wellness_resource_awareness,wellness_info_channel,campus_services_text,is_complete,answered_core_count,regular_visitor_flag,visit_frequency_group,connection_positive_flag,layout_positive_flag,wellness_awareness_positive_flag,mentions_seating_capacity,mentions_events_programming,mentions_food_samples,mentions_quiet_reflection,mentions_caps_health,mentions_art_creative
2026-04-02 10:09:10,2026-04-02 10:11:44,100,154,True,2026-04-02 10:11:44,R_3Is0X54MmLLqYi2,anonymous,EN,1,complete,,No,1-2 times/week,Neutral,"Not yet, but I would like to",additionally comfortable seating,Neutral,Lounge seating,,Yes,Trivia or theme days,,The above activities,Agree,Digital screens,any,TRUE,10,TRUE,Regular weekly visitor,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2026-04-02 10:10:50,2026-04-02 10:12:35,100,104,True,2026-04-02 10:12:36,R_332WRbJQ1TFjLnm,anonymous,EN,1,complete,,Yes,1-2 times/week,Strongly agree,"Not yet, but I would like to",Definitely more seating!! I can never find a table :(,Strongly agree,Shared long tables,,Yes,Resource bingo,,ScarletArtsRX collabs! I always meet new people there :),Strongly agree,Events,"As I mentioned previously definitely ScarletArtsRX, they have great resources!",TRUE,10,TRUE,Regular weekly visitor,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2026-04-02 10:13:09,2026-04-02 10:14:21,100,71,True,2026-04-02 10:14:22,R_3ZHMETrPosExe63,anonymous,EN,0.8999999761581421,complete,,Yes,1-2 times/week,Strongly agree,"Not yet, but I would like to",Free sample,Disagree,Shared long tables,,Yes,Trivia or theme days,,,Strongly agree,Table cards,,TRUE,10,TRUE,Regular weekly visitor,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2026-04-02 10:15:46,2026-04-02 10:18:13,100,146,True,2026-04-02 10:18:13,R_3OyyY01d2dktNBv,anonymous,EN,1,complete,,Not sure,Occasionally,Agree,"Not yet, but I would like to",expanded indoor seating area and more chairs and tables all around the building,Neutral,Mixed options,,Yes,Daily/weekly challenges,,not too sure,Neutral,QR codes,various clubs or tables that talk about things related to environment or health sciences,TRUE,10,FALSE,Occasional visitor,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2026-04-02 10:17:05,2026-04-02 10:20:06,100,181,True,2026-04-02 10:20:07,R_6zP1B5k4zNomnrX,anonymous,EN,1,complete,,No,Daily,Strongly agree,No,MORE TABLES! MORE SEATING! IT'S SO HARD TO FIND A TABLE DURING PEAK HOURS!,Disagree,Shared long tables,,No,Trivia or theme days,,I'm really not sure.,Strongly agree,Table cards,I'm not sure.,TRUE,10,TRUE,Regular weekly visitor,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-02 10:17:02,2026-04-02 10:20:28,100,205,True,2026-04-02 10:20:28,R_7fpqNGIMMpcCzU5,anonymous,EN,1,complete,,Yes,Daily,Agree,Yes,More seats please!,Neutral,Shared long tables,,Yes,Trivia or theme days,,I want to share a table with them.,Agree,Table cards,CAPS programs!,TRUE,10,TRUE,Regular weekly visitor,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2026-04-02 10:18:23,2026-04-02 10:21:14,100,170,True,2026-04-02 10:21:15,R_793oArTASF6vURj,anonymous,EN,1,complete,,No,3-4 times/week,Strongly disagree,No,Let underage kids in the gym with a sign that says play at your own risk,Neutral,Mixed options,,Not sure,Trivia or theme days,,Let underage kids in the gym with a sign that says play at your own risk,Neutral,Digital screens,Let underage kids play at the gym with a sign that says play at your own risk,TRUE,10,TRUE,Regular weekly visitor,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-02 10:19:10,2026-04-02 10:21:22,100,131,True,2026-04-02 10:21:22,R_5ML32XvpLxuA8W2,anonymous,EN,0.8999999761581421,complete,,No,1-2 times/week,Neutral,No,"A dozen or so more tables, as the current capacity is often full, meaning people need to wait to find a place to sit",Neutral,Round tables,,Not sure,None,,,Agree,QR codes,,TRUE,10,TRUE,Regular weekly visitor,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-02 10:18:43,2026-04-02 10:21:22,100,159,True,2026-04-02 10:21:22,R_7enJ5DV8KJybJG9,anonymous,EN,1,complete,,No,1-2 times/week,Neutral,No,,Agree,Mixed options,,Not sure,Conversation prompts,,,Neutral,Table cards,,TRUE,10,TRUE,Regular weekly visitor,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-02 10:23:39,2026-04-02 10:26:31,100,171,True,2026-04-02 10:26:31,R_30pl6EEuSRYZ4wQ,anonymous,EN,1,complete,,No,Daily,Agree,Yes,,Neutral,Round tables,,Not sure,Daily/weekly challenges,,,Neutral,Table cards,,TRUE,10,TRUE,Regular weekly visitor,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
